Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Binge,5,3,2,2,,
Paula,5,2,3,2,,
Award,5,3,2,2,Middle English,
Quick,5,3,2,1,Middle English,
Cause,5,2,3,1,Middle English,
Close,5,3,2,1,Middle English,
Scout,5,3,2,1,Middle English,
Snail,5,3,2,1,Middle English,
Purse,5,3,2,1,Middle English,
Topic,5,3,2,2,Latin,
Teeth,5,3,2,1,Old English,
Sauce,5,2,3,1,Old French,
Share,5,3,2,1,Middle English,
Along,5,3,2,2,Middle English,
Worse,5,3,2,1,Old English,
Movie,5,2,3,2,,
Reach,5,3,2,1,Middle English,
Giant,5,3,2,2,Ancient Greek,
Quack,5,3,2,1,Middle English,
Shark,5,4,1,1,Yucatec Maya,
Sheen,5,3,2,1,Middle English,
First,5,4,1,1,Middle English,
Count,5,3,2,1,Middle English,
Agent,5,3,2,2,Latin,
Shelf,5,4,1,1,Old English,
Grape,5,3,2,1,Middle English,
Drink,5,4,1,1,Middle English,
Louis,5,2,3,2,French,
Skate,5,3,2,1,Dutch,
Wrong,5,4,1,1,Middle English,
Cream,5,3,2,1,Middle English,
Snake,5,3,2,1,Middle English,
Heavy,5,3,2,2,Middle English,
Tooth,5,3,2,1,Middle English,
Heard,5,3,2,1,Proto Germanic,
Idiot,5,2,3,3,Middle English,
Scary,5,4,1,2,,
Chain,5,3,2,1,Middle English,
Break,5,3,2,1,Middle English,
Dylan,5,4,1,2,,
Davis,5,3,2,2,,
Valve,5,3,2,2,Latin,
Agony,5,3,2,3,Ancient Greek,
Salad,5,3,2,2,Old French,
Shell,5,4,1,1,Middle English,
Scope,5,3,2,1,,
Tupac,5,3,2,2,,
Track,5,4,1,1,Old French,
Final,5,3,2,2,Middle English,
Jenny,5,4,1,2,,
Crown,5,4,1,1,Anglo Norman,
Latte,5,3,2,2,Italian,
Group,5,3,2,1,French,
Wagon,5,3,2,2,Dutch,
Doing,5,3,2,2,,
Robin,5,3,2,2,,
False,5,3,2,2,Middle English,
Small,5,4,1,1,Middle English,
Block,5,4,1,1,Middle English,
Brush,5,4,1,1,Middle English,
Salsa,5,3,2,2,Spanish,
Grain,5,3,2,1,Old French,
Wings,5,4,1,1,,
Arian,5,2,3,3,Middle Welsh,
Allow,5,3,2,2,Middle English,
Habit,5,3,2,2,Middle English,
Stove,5,3,2,1,Middle Dutch,
Tower,5,3,2,2,Old English,
Aster,5,3,2,2,Latin,
Stars,5,4,1,1,,
Total,5,3,2,2,Middle English,
Plane,5,3,2,1,Latin,
Comet,5,3,2,2,Old French,
Tweet,5,3,2,1,,
Abide,5,2,3,2,Middle English,
Frown,5,4,1,1,Old French,
Roman,5,3,2,2,Latin,
Grant,5,4,1,1,Middle English,
Ready,5,3,2,2,Middle English,
Scott,5,4,1,1,,
Blast,5,4,1,1,Middle English,
Treat,5,3,2,1,Anglo Norman,
Poppy,5,4,1,2,Old English,
Biome,5,2,3,2,,
Oasis,5,2,3,2,Ancient Greek,
Roger,5,3,2,2,Shelta,
Ghost,5,4,1,1,Middle English,
Abort,5,3,2,2,Middle English,
Abode,5,2,3,2,Middle English,
Court,5,3,2,1,Old French,
Petal,5,3,2,2,Ancient Greek,
Flood,5,3,2,1,Middle English,
Cider,5,3,2,2,Middle English,
Orion,5,2,3,2,Middle English,
Extra,5,3,2,2,Proto Indo European,
Pearl,5,3,2,1,Old French,
Mason,5,3,2,2,,
Belle,5,3,2,2,French,
Gator,5,3,2,2,,
Rough,5,3,2,1,Old English,
Gabby,5,4,1,2,,
Koala,5,2,3,3,Dharug,
Aztec,5,3,2,2,Spanish,
Melon,5,3,2,2,Old French,
Price,5,3,2,1,Middle English,
Alpha,5,3,2,2,Ancient Greek,
Lewis,5,3,2,2,,
Smell,5,4,1,1,Middle English,
Rasta,5,3,2,2,,
Chase,5,3,2,1,Old French,
Fresh,5,4,1,1,Middle English,
Trent,5,4,1,1,,
Quest,5,3,2,1,Anglo Norman,
Store,5,3,2,1,Middle English,
Grove,5,3,2,1,Old English,
Round,5,3,2,1,Old French,
Sense,5,3,2,2,Middle English,
Lydia,5,3,2,3,Ancient Greek,
Labia,5,2,3,3,Medieval Latin,
Adams,5,3,2,2,,
Chest,5,4,1,1,Middle English,
Fancy,5,4,1,2,Middle English,
Brady,5,4,1,2,Old English,
Loose,5,2,3,1,Old Norse,
Donna,5,3,2,2,Italian,
Yahoo,5,2,3,2,,
Match,5,4,1,1,Middle English,
Pluto,5,3,2,2,Ancient Greek,
Sport,5,4,1,1,Old French,
Sheep,5,3,2,1,Middle English,
Crime,5,3,2,1,Old French,
Grade,5,3,2,1,French,
Allen,5,3,2,2,,
Helen,5,3,2,2,French,
Pride,5,3,2,1,Middle English,
Lance,5,3,2,1,Old French,
Billy,5,4,1,2,,
Virus,5,3,2,2,Latin,
Twerp,5,4,1,1,,
Kenya,5,3,2,2,Kikuyu,
Model,5,3,2,2,Middle French,
Perry,5,4,1,2,Middle English,
Ledge,5,3,2,1,,
Tired,5,3,2,1,,
Tracy,5,4,1,2,,
Juice,5,2,3,1,Middle English,
Level,5,3,2,2,Middle English,
Quart,5,3,2,1,French,
Amish,5,3,2,2,Pennsylvania German,
Flame,5,3,2,1,Middle English,
Event,5,3,2,2,Middle French,
Riley,5,3,2,2,Irish,
Solve,5,3,2,2,Latin,
Offer,5,3,2,2,Middle English,
Twist,5,4,1,1,Middle English,
Actor,5,3,2,2,Latin,
Bough,5,3,2,1,Middle English,
Maple,5,3,2,2,Old English,
Jolly,5,4,1,2,Middle English,
Hinge,5,3,2,2,Middle English,
Proud,5,3,2,1,Middle English,
Boone,5,2,3,1,,
Nasty,5,4,1,2,North Germanic,
Hyper,5,4,1,2,,
Paint,5,3,2,1,Middle English,
Press,5,4,1,1,Middle English,
Larry,5,4,1,2,,
Patch,5,4,1,1,Middle English,
Mercy,5,4,1,2,Middle English,
Baker,5,3,2,2,Middle English,
Broom,5,3,2,1,Middle English,
Rhino,5,3,2,2,,
Putin,5,3,2,2,Russian,
Greed,5,3,2,1,,
Qatar,5,3,2,2,,
Inter,5,3,2,2,Old French,
Curve,5,3,2,2,Latin,
Giver,5,3,2,2,,
Flute,5,3,2,1,Old French,
Blair,5,3,2,1,Scottish Gaelic,
Class,5,4,1,1,French,
Terry,5,4,1,2,,
Hyena,5,3,2,2,Old French,
Stock,5,4,1,1,Old English,
Sting,5,4,1,1,Old English,
Fable,5,3,2,2,Middle English,
Loved,5,3,2,1,,
Focus,5,3,2,2,Latin,
Chant,5,4,1,1,Old French,
Bench,5,4,1,1,Middle English,
Birds,5,4,1,1,,
Brand,5,4,1,1,Old English,
Otter,5,3,2,2,Old English,
Goose,5,2,3,1,Middle English,
Ought,5,3,2,1,Old English,
Boron,5,3,2,2,English,
Dodge,5,3,2,1,,
Sloth,5,4,1,1,Middle English,
Eager,5,2,3,2,Middle English,
Serve,5,3,2,2,Middle English,
Fella,5,3,2,2,Old Norse,
Cover,5,3,2,2,Middle English,
Genre,5,3,2,2,French,
Cable,5,3,2,2,Old Northern French,
Apron,5,3,2,2,Old French,
Worst,5,4,1,1,Middle Dutch,
Tommy,5,4,1,2,,
Bayou,5,2,3,1,Cajun French,
Egypt,5,4,1,2,Middle French,
Blitz,5,4,1,1,German,
Wrist,5,4,1,1,Proto Germanic,
Isaac,5,2,3,2,Hebrew,
Fence,5,3,2,1,,
Floor,5,3,2,1,Middle English,
Trial,5,3,2,2,Anglo Norman,
